theme,bg_hex,fg_hex,card_surface,ink_body_on_card,ink_headline_on_card,accent_on_card,passes_aa
"0x96f",#262427,#fcfcfa,#333034,12.69,12.71,10.07,PASS
"12-bit Rainbow",#040404,#feffff,#131313,18.54,18.54,7.10,PASS
"3024 Day",#f7f7f7,#4a4543,#e8e8e8,7.72,8.61,3.43,PASS
"3024 Night",#090300,#a5a2a2,#180800,7.73,8.15,14.33,PASS
"Aardvark Blue",#102040,#dddddd,#13264b,11.01,11.19,6.45,PASS
"Abernathy",#111416,#eeeeec,#1c2124,14.03,14.14,13.00,PASS
"Adventure",#040404,#feffff,#131313,18.54,18.54,11.75,PASS
"Adventure Time",#1f1d45,#f8dcc0,#242250,11.29,11.32,13.01,PASS
"Adwaita",#ffffff,#000000,#f0f0f0,18.38,18.38,4.83,PASS
"Adwaita Dark",#1d1d20,#ffffff,#29292d,14.46,14.46,8.24,PASS
"Afterglow",#212121,#d0d0d0,#2e2e2e,8.76,8.97,7.98,PASS
"Aizen Dark",#1a1a1a,#d0d6f0,#282828,10.26,10.32,9.39,PASS
"Aizen Light",#f0f2f6,#4a4d66,#e2e3e7,6.45,7.30,4.38,PASS
"Alabaster",#f7f7f7,#000000,#e8e8e8,17.17,17.17,5.72,PASS
"Alien Blood",#0f1610,#637d75,#19241a,3.61,3.94,9.53,FAIL
"Andromeda",#262a33,#e5e5e5,#2f343f,9.89,10.01,4.45,PASS
"Apple Classic",#2c2b2b,#d5a200,#393737,5.05,5.15,9.54,PASS
"Apple System Colors",#1e1e1e,#ffffff,#2c2c2c,14.06,14.06,8.59,PASS
"Apple System Colors Light",#feffff,#000000,#eff0f0,18.35,18.35,4.71,PASS
"Arcoiris",#201f1e,#eee4d9,#2d2c2b,11.10,11.19,12.12,PASS
"Ardoise",#1e1e1e,#eaeaea,#2c2c2c,11.69,11.80,11.65,PASS
"Argonaut",#0e1019,#fffaf4,#161927,16.86,16.86,14.28,PASS
"Arthur",#1c1c1c,#ddeedd,#2a2a2a,11.92,12.01,8.28,PASS
"Atelier Sulphurpool",#202746,#979db4,#252d51,4.95,5.15,10.33,PASS
"Atom",#161719,#c5c8c6,#222427,9.25,9.51,9.11,PASS
"Atom One Dark",#21252b,#abb2bf,#2b3038,6.23,6.45,5.62,PASS
"Atom One Light",#f9f9f9,#2a2c33,#eaeaea,11.59,12.31,6.44,PASS
"Aura",#15141b,#edecee,#201e29,13.94,14.05,13.03,PASS
"Aurora",#23262e,#ffca28,#2d303b,8.58,8.58,7.07,PASS
"Ayu",#0b0e14,#bfbdb6,#131822,9.47,9.79,12.25,PASS
"Ayu Light",#f8f9fa,#5c6166,#e9eaeb,5.20,6.03,3.00,PASS
"Ayu Mirage",#1f2430,#cccac2,#272d3c,8.35,8.57,9.43,PASS
"Banana Blueberry",#191323,#cccccc,#221a30,10.36,10.63,14.12,PASS
"Batman",#1b1d1e,#6f6f6f,#272a2c,2.87,3.19,5.74,FAIL
"Belafonte Day",#d5ccba,#45373c,#c8c0af,6.22,6.80,3.26,PASS
"Belafonte Night",#20111b,#968c83,#2d1826,5.01,5.34,5.84,PASS
"Birds Of Paradise",#2a1f1d,#e0dbb7,#372826,10.00,10.15,9.06,PASS
"Black Metal",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Bathory)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Burzum)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Dark Funeral)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Gorgoroth)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Immortal)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Khold)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Marduk)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Mayhem)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Nile)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Black Metal (Venom)",#000000,#c1c1c1,#0f0f0f,10.63,10.98,8.23,PASS
"Blazer",#0d1926,#d9e6f2,#112233,12.77,12.84,11.05,PASS
"Blue Berry Pie",#1c0c28,#babab9,#251035,8.98,9.33,6.90,PASS
"Blue Dolphin",#006984,#c5f2ff,#006f8b,4.81,4.81,4.75,PASS
"Blue Matrix",#101116,#00a2ff,#1a1c24,6.17,6.17,13.77,PASS
"Bluloco Dark",#282c34,#b9c0cb,#313640,6.59,6.76,5.34,PASS
"Bluloco Light",#f9f9f9,#373a41,#eaeaea,9.47,10.33,5.49,PASS
"Borland",#0000a4,#ffff4e,#0000a9,12.48,12.48,10.23,PASS
"Box",#141d2b,#9fef00,#1a2638,10.80,10.88,12.23,PASS
"Breadog",#f1ebe6,#362c24,#e3ddd8,10.10,10.76,5.48,PASS
"Breeze",#31363b,#eff0f1,#3b4147,9.09,9.14,4.30,PASS
"Bright Lights",#191919,#b3c9d7,#272727,8.74,8.91,9.08,PASS
"Broadcast",#2b2b2b,#e6e1dc,#383838,9.07,9.17,11.78,PASS
"Brogrammer",#131313,#d6dbe5,#212121,11.57,11.71,4.08,PASS
"Builtin Dark",#000000,#bbbbbb,#0f0f0f,9.96,10.33,15.61,PASS
"Builtin Light",#ffffff,#000000,#f0f0f0,18.38,18.38,10.70,PASS
"Builtin Pastel Dark",#000000,#bbbbbb,#0f0f0f,9.96,10.33,14.69,PASS
"Builtin Tango Dark",#000000,#ffffff,#0f0f0f,19.13,19.13,11.95,PASS
"Builtin Tango Light",#ffffff,#000000,#f0f0f0,18.38,18.38,5.76,PASS
"C64",#40318d,#7869c4,#433394,2.15,2.21,4.19,FAIL
"CGA",#000000,#aaaaaa,#0f0f0f,8.23,8.65,15.61,PASS
"CLRS",#ffffff,#262626,#f0f0f0,13.24,13.89,5.73,PASS
"Calamity",#2f2833,#d5ced9,#3a323f,8.02,8.17,7.11,PASS
"Carbonfox",#161616,#f2f4f8,#242424,14.10,14.14,7.60,PASS
"Catppuccin Frappe",#303446,#c6d0f5,#383c51,7.10,7.13,6.62,PASS
"Catppuccin Latte",#eff1f5,#4c4f69,#e1e3e6,6.19,7.03,3.81,PASS
"Catppuccin Macchiato",#24273a,#cad3f5,#2b2f46,8.85,8.89,8.33,PASS
"Catppuccin Mocha",#1e1e2e,#cdd6f4,#26263b,10.19,10.24,9.89,PASS
"Chalk",#2b2d2e,#d2d8d9,#37393b,8.03,8.18,5.97,PASS
"Chalkboard",#29262f,#d9e6f2,#34303b,10.13,10.19,8.42,PASS
"Challenger Deep",#1e1c31,#cbe1e7,#26233d,11.12,11.25,13.04,PASS
"Chester",#2c3643,#ffffff,#333f4e,10.68,10.68,6.40,PASS
"Ciapre",#191c27,#aea47a,#212534,6.06,6.34,11.26,PASS
"Citruszest",#121212,#bfbfbf,#202020,8.84,9.14,12.84,PASS
"Cobalt Neon",#142838,#8ff586,#183144,10.02,10.06,10.02,PASS
"Cobalt Next",#162c35,#d7deea,#1b3641,9.40,9.49,8.89,PASS
"Cobalt Next Dark",#0b1c24,#d7deea,#0f2631,11.54,11.65,10.93,PASS
"Cobalt Next Minimal",#0b1c24,#d7deea,#0f2631,11.54,11.65,10.93,PASS
"Cobalt2",#132738,#ffffff,#172f44,13.71,13.71,9.13,PASS
"Coffee Theme",#f5deb3,#000000,#e6d1a8,14.03,14.03,6.71,PASS
"Crayon Pony Fish",#150707,#68525a,#230c0c,2.61,2.88,13.03,FAIL
"Cursor Dark",#141414,#ffffff,#222222,15.89,15.89,7.94,PASS
"Cutie Pro",#181818,#d5d0c9,#262626,9.89,10.09,8.64,PASS
"Cyberdyne",#151144,#00ff92,#18144f,12.55,12.55,13.76,PASS
"Cyberpunk",#332a57,#e5e5e5,#392f61,9.52,9.64,7.64,PASS
"Cyberpunk Scarlet Protocol",#101116,#e41951,#1a1c24,3.69,3.73,13.77,FAIL
"Dark Modern",#1f1f1f,#cccccc,#2c2c2c,8.64,8.87,5.93,PASS
"Dark Pastel",#000000,#ffffff,#0f0f0f,19.13,19.13,15.61,PASS
"Dark+",#1e1e1e,#cccccc,#2c2c2c,8.76,8.99,6.01,PASS
"Darkermatrix",#070c0e,#35451a,#0e181c,1.72,1.97,13.38,FAIL
"Darkmatrix",#070c0e,#3e5715,#0e181c,2.20,2.49,10.06,FAIL
"Darkside",#222324,#bababa,#2e3031,6.84,7.10,4.25,PASS
"Dawnfox",#faf4ed,#575279,#ebe5df,5.83,6.68,4.90,PASS
"Dayfox",#f6f2ee,#3d2b5a,#e7e3e0,9.77,10.54,6.38,PASS
"Deep",#090909,#cdcdcd,#181818,11.20,11.48,14.52,PASS
"Desert",#333333,#ffffff,#3f3f3f,10.49,10.49,8.15,PASS
"Detuned",#000000,#c7c7c7,#0f0f0f,11.31,11.65,11.51,PASS
"Dimidium",#141414,#bab7b6,#222222,7.97,8.28,9.98,PASS
"Dimmed Monokai",#1f1f1f,#b9bcba,#2c2c2c,7.25,7.51,3.88,PASS
"Django",#0b2f20,#f8f8f8,#0e3b28,11.73,11.77,12.46,PASS
"Django Reborn Again",#051f14,#dadedc,#072c1d,11.10,11.27,15.07,PASS
"Django Smooth",#245032,#f8f8f8,#295b39,7.52,7.54,7.98,PASS
"Doom One",#282c34,#bbc2cf,#313640,6.74,6.90,5.10,PASS
"Doom Peacock",#2b2a27,#ede0ce,#383633,9.24,9.31,7.22,PASS
"Dot Gov",#262c35,#ebebeb,#2f3641,10.21,10.31,7.27,PASS
"Dracula",#282a36,#f8f8f2,#313342,11.66,11.70,10.85,PASS
"Dracula+",#212121,#f8f8f2,#2e2e2e,12.68,12.72,11.80,PASS
"Duckbones",#0e101a,#ebefc0,#151828,14.73,14.84,7.65,PASS
"Duotone Dark",#1f1d27,#b7a1ff,#292734,6.68,6.68,9.30,PASS
"Duskfox",#232136,#e0def4,#2b2842,10.69,10.74,9.24,PASS
"ENCOM",#000000,#00a595,#0f0f0f,6.21,6.53,9.67,PASS
"Earthsong",#292520,#e5c7a9,#36312a,8.06,8.16,9.13,PASS
"Electron Highlighter",#23283d,#a5b6d4,#2a3049,6.36,6.50,10.25,PASS
"Elegant",#292b31,#ced2d6,#33363d,7.96,8.12,6.74,PASS
"Elemental",#22211d,#807a74,#2f2e28,3.21,3.50,8.26,FAIL
"Elementary",#181818,#efefef,#262626,13.18,13.28,5.93,PASS
"Embark",#1e1c31,#eeffff,#26233d,14.66,14.66,11.15,PASS
"Embers Dark",#16130f,#a39a90,#241f19,5.90,6.22,8.16,PASS
"Espresso",#323232,#ffffff,#3e3e3e,10.65,10.65,9.34,PASS
"Espresso Libre",#2a211c,#b8a898,#372b25,5.93,6.16,8.56,PASS
"Everblush",#141b1e,#dadada,#1d272c,10.89,11.08,8.17,PASS
"Everforest Dark Hard",#1e2326,#d3c6aa,#282f33,8.04,8.21,6.42,PASS
"Everforest Light Med",#efebd4,#5c6a72,#e1ddc7,4.08,4.78,2.47,FAIL
"Fahrenheit",#000000,#ffffce,#0f0f0f,18.62,18.62,13.06,PASS
"Fairyfloss",#5a5475,#f8f8f2,#605a7d,6.04,6.06,5.73,PASS
"Farmhouse Dark",#1d2027,#e8e4e1,#272b34,11.27,11.39,8.06,PASS
"Farmhouse Light",#e8e4e1,#1d2027,#dad6d3,11.32,11.74,7.16,PASS
"Fideloper",#292f33,#dbdae0,#333a3f,8.29,8.41,3.47,PASS
"Firefly Traditional",#000000,#f5f5f5,#0f0f0f,17.54,17.62,13.50,PASS
"Firefox Dev",#0e1011,#7c8fa4,#1a1d1f,5.08,5.35,5.66,PASS
"Firewatch",#1e2027,#9ba2b2,#282b34,5.54,5.78,5.08,PASS
